subset,target,model,ablation,num_features,MAE,RMSE,R2,NASA_Score,train_time_sec,inference_time_sec,train_rows,test_rows
FD001,RUL_capped,CatBoost,A1_operational_only,3,33.188562,35.424049,-0.649806,514712.934193,1.51763,0.00303,20631,13096
FD001,RUL_capped,CatBoost,A2_raw_sensors_only,21,11.940826,16.928458,0.623234,202397.904685,1.750801,0.005262,20631,13096
FD001,RUL_capped,CatBoost,A3_cycle_only,2,14.737219,23.384278,0.281074,247176.792857,1.602282,0.003034,20631,13096
FD001,RUL_capped,CatBoost,A4_raw_plus_operational,24,11.951928,16.944003,0.622542,201011.828436,1.738687,0.004071,20631,13096
FD001,RUL_capped,CatBoost,A5_raw_plus_cycle,23,9.884442,15.614482,0.679453,73676.090343,1.782439,0.003469,20631,13096
FD001,RUL_capped,CatBoost,A6_rolling_only,315,11.436041,16.237244,0.653374,116227.009106,4.88079,0.011862,20631,13096
FD001,RUL_capped,CatBoost,A7_full_without_cycle,402,11.315799,16.066487,0.660626,109858.596339,5.104025,0.029715,20631,13096
FD001,RUL_capped,CatBoost,A8_rolling_plus_cycle,317,10.068059,15.552995,0.681973,62292.807892,4.438414,0.010364,20631,13096
FD001,RUL_capped,CatBoost,A9_full_proposed,404,10.111162,15.564334,0.681509,62549.45861,5.094609,0.011475,20631,13096
FD002,RUL_capped,CatBoost,A1_operational_only,3,33.219956,35.591647,-0.524413,1618425.4655,1.817821,0.003755,53759,33991
FD002,RUL_capped,CatBoost,A2_raw_sensors_only,21,14.552847,18.945519,0.568064,334482.765754,2.264741,0.005354,53759,33991
FD002,RUL_capped,CatBoost,A3_cycle_only,2,16.474189,25.250508,0.232733,731183.102548,1.919642,0.003817,53759,33991
FD002,RUL_capped,CatBoost,A4_raw_plus_operational,24,14.542036,18.938894,0.568366,332443.774228,2.275351,0.005138,53759,33991
FD002,RUL_capped,CatBoost,A5_raw_plus_cycle,23,11.483041,16.975135,0.653237,189621.308596,2.187537,0.004048,53759,33991
FD002,RUL_capped,CatBoost,A6_rolling_only,315,14.20716,18.815654,0.573965,373806.740328,6.77121,0.013282,53759,33991
FD002,RUL_capped,CatBoost,A7_full_without_cycle,402,14.153543,18.786367,0.57529,372343.195325,7.987359,0.015209,53759,33991
FD002,RUL_capped,CatBoost,A8_rolling_plus_cycle,317,11.56258,17.299764,0.639847,228286.166559,6.825939,0.010984,53759,33991
FD002,RUL_capped,CatBoost,A9_full_proposed,404,11.502564,17.236232,0.642488,222640.136739,8.001284,0.015335,53759,33991
FD003,RUL_capped,CatBoost,A1_operational_only,3,29.422234,31.410037,-0.599345,741500.252429,1.415721,0.003312,24720,16596
FD003,RUL_capped,CatBoost,A2_raw_sensors_only,21,8.930869,14.221293,0.672144,135021.701618,1.865864,0.003977,24720,16596
FD003,RUL_capped,CatBoost,A3_cycle_only,2,18.219599,26.752036,-0.160163,326941.38399,1.605365,0.003299,24720,16596
FD003,RUL_capped,CatBoost,A4_raw_plus_operational,24,8.936384,14.220713,0.67217,133754.599493,1.851266,0.004204,24720,16596
FD003,RUL_capped,CatBoost,A5_raw_plus_cycle,23,7.637055,12.706028,0.738287,63411.763339,1.888293,0.003863,24720,16596
FD003,RUL_capped,CatBoost,A6_rolling_only,315,8.062588,12.804084,0.734232,83426.651114,4.73408,0.010828,24720,16596
FD003,RUL_capped,CatBoost,A7_full_without_cycle,402,8.127216,12.883652,0.730919,85266.22953,5.46261,0.011047,24720,16596
FD003,RUL_capped,CatBoost,A8_rolling_plus_cycle,317,7.359194,12.101822,0.762586,50630.985218,4.762176,0.030452,24720,16596
FD003,RUL_capped,CatBoost,A9_full_proposed,404,7.354899,12.084161,0.763278,50177.16668,5.452246,0.010939,24720,16596
FD004,RUL_capped,CatBoost,A1_operational_only,3,30.273161,32.174785,-0.59654,2054289.232968,1.928196,0.004309,61249,41214
FD004,RUL_capped,CatBoost,A2_raw_sensors_only,21,11.062985,16.492053,0.580533,529315.583397,2.316902,0.006507,61249,41214
FD004,RUL_capped,CatBoost,A3_cycle_only,2,21.105837,30.497637,-0.434435,1780378.904309,2.060013,0.003838,61249,41214
FD004,RUL_capped,CatBoost,A4_raw_plus_operational,24,11.055418,16.494651,0.580401,530975.313894,2.31779,0.00599,61249,41214
FD004,RUL_capped,CatBoost,A5_raw_plus_cycle,23,10.1199,15.795661,0.61521,452465.290457,2.320921,0.004356,61249,41214
FD004,RUL_capped,CatBoost,A6_rolling_only,315,10.801392,16.657785,0.57206,579862.661614,7.028704,0.012648,61249,41214
FD004,RUL_capped,CatBoost,A7_full_without_cycle,402,10.813895,16.619136,0.574043,558151.671229,8.346727,0.014025,61249,41214
FD004,RUL_capped,CatBoost,A8_rolling_plus_cycle,317,9.557471,15.492382,0.629844,406324.736954,7.044669,0.015089,61249,41214
FD004,RUL_capped,CatBoost,A9_full_proposed,404,9.554484,15.522409,0.628408,413039.788056,8.332492,0.013306,61249,41214
