subset,target,model,window,stride_train,stride_test,num_sequence_features,MAE,RMSE,R2,NASA_Score,train_time_sec,train_windows,test_windows
FD001,RUL_capped,GRU,30,3,3,24,9.99656,13.493033,0.794572,10105.742244,2.419535,5947,3433
FD001,RUL_capped,LSTM,30,3,3,24,11.81017,15.863358,0.716057,17630.266364,1.323339,5947,3433
FD001,RUL_capped,TCN,30,3,3,24,15.710522,21.718681,0.46776,95367.572295,1.514958,5947,3433
FD002,RUL_capped,GRU,30,3,3,24,17.355678,21.43376,0.51869,101084.162246,3.574832,15490,8923
FD002,RUL_capped,TCN,30,3,3,24,16.885807,21.624661,0.510078,135636.816629,3.622911,15490,8923
FD002,RUL_capped,LSTM,30,3,3,24,17.215837,21.643172,0.509239,129853.243216,3.659878,15490,8923
FD003,RUL_capped,LSTM,30,3,3,24,10.072761,14.142056,0.715522,19255.598156,1.896406,7309,4595
FD003,RUL_capped,GRU,30,3,3,24,9.118374,14.42504,0.704024,33383.548923,1.773845,7309,4595
FD003,RUL_capped,TCN,30,3,3,24,11.509528,17.406491,0.569032,70026.736586,1.737143,7309,4595
FD004,RUL_capped,GRU,30,3,3,24,12.667198,18.222863,0.551902,233910.836165,4.210998,18087,11442
FD004,RUL_capped,LSTM,30,3,3,24,14.304674,19.99083,0.460736,220172.877178,4.305944,18087,11442
FD004,RUL_capped,TCN,30,3,3,24,14.893349,20.525613,0.431498,259086.721944,4.04385,18087,11442
