feature,category
op_setting_1,operational_setting
op_setting_2,operational_setting
op_setting_3,operational_setting
sensor_1,raw_sensor
sensor_2,raw_sensor
sensor_3,raw_sensor
sensor_4,raw_sensor
sensor_5,raw_sensor
sensor_6,raw_sensor
sensor_7,raw_sensor
sensor_8,raw_sensor
sensor_9,raw_sensor
sensor_10,raw_sensor
sensor_11,raw_sensor
sensor_12,raw_sensor
sensor_13,raw_sensor
sensor_14,raw_sensor
sensor_15,raw_sensor
sensor_16,raw_sensor
sensor_17,raw_sensor
sensor_18,raw_sensor
sensor_19,raw_sensor
sensor_20,raw_sensor
sensor_21,raw_sensor
cycle_log1p,cycle_observable
cycle_sqrt,cycle_observable
sensor_1_lag1,lag
sensor_1_delta1,delta
sensor_1_pct_change1,percentage_change
sensor_2_lag1,lag
sensor_2_delta1,delta
sensor_2_pct_change1,percentage_change
sensor_3_lag1,lag
sensor_3_delta1,delta
sensor_3_pct_change1,percentage_change
sensor_4_lag1,lag
sensor_4_delta1,delta
sensor_4_pct_change1,percentage_change
sensor_5_lag1,lag
sensor_5_delta1,delta
sensor_5_pct_change1,percentage_change
sensor_6_lag1,lag
sensor_6_delta1,delta
sensor_6_pct_change1,percentage_change
sensor_7_lag1,lag
sensor_7_delta1,delta
sensor_7_pct_change1,percentage_change
sensor_8_lag1,lag
sensor_8_delta1,delta
sensor_8_pct_change1,percentage_change
sensor_9_lag1,lag
sensor_9_delta1,delta
sensor_9_pct_change1,percentage_change
sensor_10_lag1,lag
sensor_10_delta1,delta
sensor_10_pct_change1,percentage_change
sensor_11_lag1,lag
sensor_11_delta1,delta
sensor_11_pct_change1,percentage_change
sensor_12_lag1,lag
sensor_12_delta1,delta
sensor_12_pct_change1,percentage_change
sensor_13_lag1,lag
sensor_13_delta1,delta
sensor_13_pct_change1,percentage_change
sensor_14_lag1,lag
sensor_14_delta1,delta
sensor_14_pct_change1,percentage_change
sensor_15_lag1,lag
sensor_15_delta1,delta
sensor_15_pct_change1,percentage_change
sensor_16_lag1,lag
sensor_16_delta1,delta
sensor_16_pct_change1,percentage_change
sensor_17_lag1,lag
sensor_17_delta1,delta
sensor_17_pct_change1,percentage_change
sensor_18_lag1,lag
sensor_18_delta1,delta
sensor_18_pct_change1,percentage_change
sensor_19_lag1,lag
sensor_19_delta1,delta
sensor_19_pct_change1,percentage_change
sensor_20_lag1,lag
sensor_20_delta1,delta
sensor_20_pct_change1,percentage_change
sensor_21_lag1,lag
sensor_21_delta1,delta
sensor_21_pct_change1,percentage_change
sensor_1_roll5_mean,rolling_mean
sensor_1_roll5_std,rolling_std
sensor_1_roll5_min,rolling_min
sensor_1_roll5_max,rolling_max
sensor_1_roll5_range,rolling_range
sensor_2_roll5_mean,rolling_mean
sensor_2_roll5_std,rolling_std
sensor_2_roll5_min,rolling_min
sensor_2_roll5_max,rolling_max
sensor_2_roll5_range,rolling_range
sensor_3_roll5_mean,rolling_mean
sensor_3_roll5_std,rolling_std
sensor_3_roll5_min,rolling_min
sensor_3_roll5_max,rolling_max
sensor_3_roll5_range,rolling_range
