subset,family,model,MAE,RMSE,R2,NASA_Score
FD001,Deep Sequence,GRU,9.99656,13.493033,0.794572,10105.742244
FD001,Best Ablation,A8_rolling_plus_cycle,10.068059,15.552995,0.681973,62292.807892
FD001,Classical ML,CatBoost (CatBoost),10.111204,15.557864,0.681773,61833.513611
FD001,Hybrid Proposed,HybridGRUFeatureAttention,13.98434,18.179773,0.627079,19275.842613
FD002,Best Ablation,A5_raw_plus_cycle,11.483041,16.975135,0.653237,189621.308596
FD002,Classical ML,CatBoost (CatBoost),11.500961,17.246507,0.642061,230915.846235
FD002,Hybrid Proposed,HybridGRUFeatureAttention,14.620736,19.467807,0.602934,81584.596985
FD002,Deep Sequence,GRU,17.355678,21.43376,0.51869,101084.162246
FD003,Best Ablation,A9_full_proposed,7.354899,12.084161,0.763278,50177.16668
FD003,Classical ML,CatBoost (CatBoost),7.398374,12.18859,0.759169,50286.437854
FD003,Hybrid Proposed,HybridGRUFeatureAttention,8.613619,13.107488,0.755622,15868.093126
FD003,Deep Sequence,LSTM,10.072761,14.142056,0.715522,19255.598156
FD004,Best Ablation,A8_rolling_plus_cycle,9.557471,15.492382,0.629844,406324.736954
FD004,Classical ML,CatBoost (CatBoost),9.603424,15.512693,0.628873,401468.04549
FD004,Deep Sequence,GRU,12.667198,18.222863,0.551902,233910.836165
FD004,Hybrid Proposed,HybridGRUFeatureAttention,13.267459,18.786538,0.523752,186111.26039
