subset,target,model,MAE,RMSE,R2,NASA_Score,train_time_sec,inference_time_sec,train_rows,test_rows,num_features,RMSE_rank,MAE_rank
FD001,RUL_capped,CatBoost,10.111204,15.557864,0.681773,61833.513611,5.29053,0.010522,20631,13096,404,1,1
FD001,RUL_capped,ExtraTrees,10.13854,15.660843,0.677547,61298.442053,7.798899,0.061154,20631,13096,404,2,2
FD001,RUL_capped,XGBoost,10.278578,15.781465,0.67256,62364.599343,5.732228,0.118499,20631,13096,404,3,4
FD001,RUL_capped,LightGBM,10.275715,16.011268,0.662955,65494.549034,3.268824,0.041097,20631,13096,404,4,3
FD001,RUL_capped,RandomForest,10.373539,16.048656,0.661379,65012.441969,53.766779,0.060464,20631,13096,404,5,5
FD001,RUL_capped,Ridge,11.439462,16.109808,0.658794,53253.737454,0.150465,0.019018,20631,13096,404,6,6
FD002,RUL_capped,CatBoost,11.500961,17.246507,0.642061,230915.846235,8.152348,0.014324,53759,33991,404,1,3
FD002,RUL_capped,XGBoost,11.45745,17.298807,0.639887,218271.97374,10.914548,0.116803,53759,33991,404,2,2
FD002,RUL_capped,ExtraTrees,11.540493,17.306997,0.639546,193266.132292,31.860841,0.106454,53759,33991,404,3,4
FD002,RUL_capped,LightGBM,11.354039,17.385708,0.63626,233810.325032,5.202633,0.096749,53759,33991,404,4,1
FD002,RUL_capped,Ridge,13.392385,18.139666,0.604028,176127.962445,0.255722,0.045782,53759,33991,404,5,6
FD002,RUL_capped,RandomForest,11.877491,18.177408,0.602378,263597.066159,174.493726,0.106629,53759,33991,404,6,5
FD003,RUL_capped,CatBoost,7.398374,12.18859,0.759169,50286.437854,5.540162,0.041987,24720,16596,404,1,2
FD003,RUL_capped,XGBoost,7.477019,12.424572,0.749753,51369.329344,6.615717,0.110959,24720,16596,404,2,3
FD003,RUL_capped,LightGBM,7.279144,12.496883,0.746832,54770.715175,4.111454,0.04821,24720,16596,404,3,1
FD003,RUL_capped,ExtraTrees,7.621941,12.63878,0.74105,54691.981978,8.45191,0.062424,24720,16596,404,4,5
FD003,RUL_capped,RandomForest,7.613761,13.045446,0.724118,65836.520611,54.146468,0.060662,24720,16596,404,5,4
FD003,RUL_capped,Ridge,10.441755,15.040674,0.633276,64116.536437,0.122203,0.022924,24720,16596,404,6,6
FD004,RUL_capped,CatBoost,9.603424,15.512693,0.628873,401468.04549,8.490829,0.015753,61249,41214,404,1,3
FD004,RUL_capped,ExtraTrees,9.633166,15.582604,0.62552,454591.456524,34.39694,0.120518,61249,41214,404,2,4
FD004,RUL_capped,LightGBM,9.274244,15.595853,0.624883,449423.429016,5.919836,0.108521,61249,41214,404,3,1
FD004,RUL_capped,XGBoost,9.505367,15.666663,0.621469,472715.022118,10.921874,0.096262,61249,41214,404,4,2
FD004,RUL_capped,RandomForest,9.650699,16.020325,0.604186,526704.331515,237.77441,0.111285,61249,41214,404,5,5
FD004,RUL_capped,Ridge,11.979318,17.313013,0.537732,442578.009904,0.268363,0.056511,61249,41214,404,6,6
