subset,target,model,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,ROC_AUC_OVR,PR_AUC_Macro,train_time_sec,inference_time_sec,train_rows,test_rows,num_features
FD001,risk_stage,LogisticRegression,0.762065,0.751614,0.754006,0.7527,0.764672,0.762065,0.763235,0.897843,0.829418,4.205421,0.070465,20631,13096,404
FD001,risk_stage,RandomForest,0.750993,0.766609,0.712048,0.732272,0.766031,0.750993,0.755267,0.891184,0.809983,1.903746,0.100361,20631,13096,404
FD001,risk_stage,ExtraTrees,0.762981,0.771996,0.704087,0.731941,0.764613,0.762981,0.762498,0.885011,0.803403,0.522613,0.137747,20631,13096,404
FD001,risk_stage,XGBoost,0.735263,0.752423,0.711762,0.726379,0.753358,0.735263,0.740616,0.88682,0.808955,12.642965,0.201212,20631,13096,404
FD001,risk_stage,LightGBM,0.732972,0.748161,0.715302,0.726098,0.753879,0.732972,0.738947,0.885967,0.803221,8.118249,0.215794,20631,13096,404
FD001,risk_stage,CatBoost,0.748702,0.76718,0.72119,0.738368,0.764169,0.748702,0.75328,0.892767,0.815431,11.668765,0.024303,20631,13096,404
FD002,risk_stage,LogisticRegression,0.72781,0.693269,0.73866,0.710597,0.750735,0.72781,0.734523,0.884955,0.7851,24.072022,0.180835,53759,33991,404
FD002,risk_stage,RandomForest,0.753229,0.710539,0.72915,0.719142,0.759338,0.753229,0.755743,0.884572,0.770171,7.76627,0.225776,53759,33991,404
FD002,risk_stage,ExtraTrees,0.749463,0.710063,0.730321,0.719412,0.755608,0.749463,0.75197,0.884473,0.778977,2.35433,0.292788,53759,33991,404
FD002,risk_stage,XGBoost,0.745315,0.703717,0.735139,0.717515,0.755608,0.745315,0.749092,0.887093,0.783812,26.164107,0.291312,53759,33991,404
FD002,risk_stage,LightGBM,0.744844,0.702359,0.743896,0.720126,0.756641,0.744844,0.748909,0.888623,0.785178,15.014581,0.601877,53759,33991,404
FD002,risk_stage,CatBoost,0.746374,0.700495,0.732796,0.714766,0.755764,0.746374,0.749894,0.886951,0.775286,20.013789,0.035293,53759,33991,404
FD003,risk_stage,LogisticRegression,0.82086,0.776194,0.811611,0.792375,0.829445,0.82086,0.824071,0.926048,0.864307,4.632653,0.070906,24720,16596,404
FD003,risk_stage,RandomForest,0.827248,0.806271,0.760927,0.781418,0.82167,0.827248,0.823078,0.912937,0.848007,2.312653,0.122823,24720,16596,404
FD003,risk_stage,ExtraTrees,0.827489,0.807365,0.75292,0.776746,0.820802,0.827489,0.821759,0.909284,0.839397,0.631517,0.17144,24720,16596,404
FD003,risk_stage,XGBoost,0.81598,0.790382,0.774493,0.782151,0.813252,0.81598,0.814424,0.913857,0.852173,15.296832,0.212989,24720,16596,404
FD003,risk_stage,LightGBM,0.817004,0.79225,0.785568,0.788861,0.815904,0.817004,0.816424,0.912256,0.850924,8.778625,0.26723,24720,16596,404
FD003,risk_stage,CatBoost,0.826765,0.798518,0.779319,0.78822,0.822285,0.826765,0.823882,0.916455,0.852539,12.365338,0.025921,24720,16596,404
FD004,risk_stage,LogisticRegression,0.763745,0.699125,0.731429,0.711055,0.791688,0.763745,0.773679,0.8927,0.74897,28.176365,0.191715,61249,41214,404
FD004,risk_stage,RandomForest,0.797739,0.728932,0.694516,0.710304,0.795152,0.797739,0.796152,0.894199,0.748318,9.048879,0.249622,61249,41214,404
FD004,risk_stage,ExtraTrees,0.797108,0.726118,0.68585,0.704167,0.790576,0.797108,0.793156,0.894051,0.743678,2.675336,0.322799,61249,41214,404
FD004,risk_stage,XGBoost,0.791187,0.723853,0.707738,0.715258,0.793147,0.791187,0.792045,0.894546,0.766863,30.994358,0.317334,61249,41214,404
FD004,risk_stage,LightGBM,0.7916,0.719062,0.725841,0.721866,0.799603,0.7916,0.795074,0.895259,0.767252,16.178207,0.693149,61249,41214,404
FD004,risk_stage,CatBoost,0.791163,0.716008,0.700738,0.708001,0.791539,0.791163,0.791285,0.89361,0.760089,21.775587,0.038957,61249,41214,404
