subset,model,target,feature,mean_abs_shap,category,rank
FD003,CatBoost,RUL_capped,cycle_log1p,4.436372010681082,cycle_observable,1
FD003,CatBoost,RUL_capped,cycle_sqrt,3.841953001333743,cycle_observable,2
FD003,CatBoost,RUL_capped,sensor_12_roll20_std,2.689556231593708,rolling_std,3
FD003,CatBoost,RUL_capped,sensor_11_roll5_mean,1.4721019468808896,rolling_mean,4
FD003,CatBoost,RUL_capped,sensor_11_roll10_mean,1.2417523384971312,rolling_mean,5
FD003,CatBoost,RUL_capped,sensor_7_roll20_std,1.0671839237772454,rolling_std,6
FD003,CatBoost,RUL_capped,sensor_3_roll10_mean,1.040334288828173,rolling_mean,7
FD003,CatBoost,RUL_capped,sensor_11_roll5_max,0.9725763540287081,rolling_max,8
FD003,CatBoost,RUL_capped,sensor_12_roll20_range,0.9704869390884916,rolling_range,9
FD003,CatBoost,RUL_capped,sensor_7_roll20_range,0.9645653803347407,rolling_range,10
FD003,CatBoost,RUL_capped,sensor_3_roll20_mean,0.8664526249884719,rolling_mean,11
FD003,CatBoost,RUL_capped,sensor_17_roll10_mean,0.854813670904581,rolling_mean,12
FD003,CatBoost,RUL_capped,sensor_9_roll5_mean,0.7793521310889311,rolling_mean,13
FD003,CatBoost,RUL_capped,sensor_11_roll5_min,0.6727416209184093,rolling_min,14
FD003,CatBoost,RUL_capped,sensor_9_roll20_range,0.5595133325565846,rolling_range,15
FD003,CatBoost,RUL_capped,sensor_17_roll5_mean,0.5590237188549527,rolling_mean,16
FD003,CatBoost,RUL_capped,sensor_4_roll5_max,0.5358825302086284,rolling_max,17
FD003,CatBoost,RUL_capped,sensor_4_roll5_mean,0.5220775144873423,rolling_mean,18
FD003,CatBoost,RUL_capped,sensor_11_roll10_max,0.5089084111945915,rolling_max,19
FD003,CatBoost,RUL_capped,sensor_7_roll20_max,0.4981133448120951,rolling_max,20
FD003,CatBoost,RUL_capped,sensor_9,0.4900326995518228,raw_sensor,21
FD003,CatBoost,RUL_capped,sensor_9_roll10_max,0.4827456326630727,rolling_max,22
FD003,CatBoost,RUL_capped,sensor_4_roll5_min,0.4762247059662254,rolling_min,23
FD003,CatBoost,RUL_capped,sensor_2_roll10_max,0.4307090453879019,rolling_max,24
FD003,CatBoost,RUL_capped,sensor_3_roll5_mean,0.4260179634897191,rolling_mean,25
