subset,model,target,feature,mean_abs_shap,category,rank
FD001,CatBoost,RUL_capped,cycle_log1p,7.007898805222237,cycle_observable,1
FD001,CatBoost,RUL_capped,cycle_sqrt,4.195863514411304,cycle_observable,2
FD001,CatBoost,RUL_capped,sensor_4_roll10_mean,1.1044007960618045,rolling_mean,3
FD001,CatBoost,RUL_capped,sensor_2_roll10_mean,1.0882960839421807,rolling_mean,4
FD001,CatBoost,RUL_capped,sensor_15_roll10_mean,1.0515111155702606,rolling_mean,5
FD001,CatBoost,RUL_capped,sensor_11_roll20_range,0.9423555620596217,rolling_range,6
FD001,CatBoost,RUL_capped,sensor_15_roll5_mean,0.7995296785198478,rolling_mean,7
FD001,CatBoost,RUL_capped,sensor_11_roll10_mean,0.7918306155231513,rolling_mean,8
FD001,CatBoost,RUL_capped,sensor_8_roll20_min,0.7552289616021078,rolling_min,9
FD001,CatBoost,RUL_capped,sensor_14_roll20_mean,0.7384464341973692,rolling_mean,10
FD001,CatBoost,RUL_capped,sensor_11_roll5_mean,0.7290040145165232,rolling_mean,11
FD001,CatBoost,RUL_capped,sensor_12_roll20_std,0.6910567371656451,rolling_std,12
FD001,CatBoost,RUL_capped,sensor_3_roll10_mean,0.6882859963664718,rolling_mean,13
FD001,CatBoost,RUL_capped,sensor_4_roll5_mean,0.6818417739759638,rolling_mean,14
FD001,CatBoost,RUL_capped,sensor_9_roll20_std,0.6779094101644936,rolling_std,15
FD001,CatBoost,RUL_capped,sensor_2_roll5_mean,0.6410706129209799,rolling_mean,16
FD001,CatBoost,RUL_capped,sensor_13_roll20_min,0.6341316984097309,rolling_min,17
FD001,CatBoost,RUL_capped,sensor_15_roll20_max,0.5999941507328744,rolling_max,18
FD001,CatBoost,RUL_capped,sensor_7_roll5_mean,0.598391409491715,rolling_mean,19
FD001,CatBoost,RUL_capped,sensor_4_roll10_max,0.5926537438482987,rolling_max,20
FD001,CatBoost,RUL_capped,sensor_13_roll20_std,0.5578721264802147,rolling_std,21
FD001,CatBoost,RUL_capped,sensor_9_roll20_range,0.5508753345613677,rolling_range,22
FD001,CatBoost,RUL_capped,sensor_3_roll10_max,0.5496380377093821,rolling_max,23
FD001,CatBoost,RUL_capped,sensor_11_roll5_min,0.5380623764165058,rolling_min,24
FD001,CatBoost,RUL_capped,sensor_14_roll20_range,0.5210993211159095,rolling_range,25
FD002,CatBoost,RUL_capped,cycle_sqrt,7.698258921583569,cycle_observable,1
FD002,CatBoost,RUL_capped,cycle_log1p,7.637245119604822,cycle_observable,2
FD002,CatBoost,RUL_capped,sensor_15_roll20_max,3.2927193951744873,rolling_max,3
FD002,CatBoost,RUL_capped,sensor_11_roll20_max,2.17451635178298,rolling_max,4
FD002,CatBoost,RUL_capped,sensor_13_roll20_max,2.013640462546185,rolling_max,5
FD002,CatBoost,RUL_capped,sensor_4_roll20_max,1.8475858369149325,rolling_max,6
FD002,CatBoost,RUL_capped,sensor_12_roll20_max,1.6822322565262495,rolling_max,7
FD002,CatBoost,RUL_capped,sensor_13_roll10_max,1.5547262754690154,rolling_max,8
FD002,CatBoost,RUL_capped,sensor_21_roll20_max,1.2404597364670056,rolling_max,9
FD002,CatBoost,RUL_capped,sensor_11_roll10_min,0.9552207527672774,rolling_min,10
FD002,CatBoost,RUL_capped,sensor_11_roll20_min,0.7324086501751228,rolling_min,11
FD002,CatBoost,RUL_capped,sensor_12_roll10_max,0.7228394052072129,rolling_max,12
FD002,CatBoost,RUL_capped,sensor_13_roll5_max,0.6643831224329355,rolling_max,13
FD002,CatBoost,RUL_capped,sensor_3_roll20_max,0.6573937310763304,rolling_max,14
FD002,CatBoost,RUL_capped,sensor_7_roll10_max,0.6334205152178726,rolling_max,15
FD002,CatBoost,RUL_capped,sensor_8_roll20_max,0.5942218366163737,rolling_max,16
FD002,CatBoost,RUL_capped,sensor_7_roll20_max,0.5197069731757791,rolling_max,17
FD002,CatBoost,RUL_capped,sensor_20_roll10_max,0.5147561675554895,rolling_max,18
FD002,CatBoost,RUL_capped,sensor_15_roll10_max,0.48937437837939257,rolling_max,19
FD002,CatBoost,RUL_capped,sensor_2_roll10_max,0.48182170466205126,rolling_max,20
FD002,CatBoost,RUL_capped,sensor_20_roll20_max,0.4697847594507904,rolling_max,21
FD002,CatBoost,RUL_capped,sensor_15_roll20_min,0.43513125079868953,rolling_min,22
FD002,CatBoost,RUL_capped,sensor_14_roll20_max,0.43375816574993215,rolling_max,23
FD002,CatBoost,RUL_capped,sensor_12_roll5_max,0.43148516108407764,rolling_max,24
FD002,CatBoost,RUL_capped,sensor_2_roll20_max,0.4216882757819994,rolling_max,25
FD003,CatBoost,RUL_capped,cycle_log1p,4.436372010681082,cycle_observable,1
FD003,CatBoost,RUL_capped,cycle_sqrt,3.841953001333743,cycle_observable,2
FD003,CatBoost,RUL_capped,sensor_12_roll20_std,2.689556231593708,rolling_std,3
FD003,CatBoost,RUL_capped,sensor_11_roll5_mean,1.4721019468808896,rolling_mean,4
FD003,CatBoost,RUL_capped,sensor_11_roll10_mean,1.2417523384971312,rolling_mean,5
FD003,CatBoost,RUL_capped,sensor_7_roll20_std,1.0671839237772454,rolling_std,6
FD003,CatBoost,RUL_capped,sensor_3_roll10_mean,1.040334288828173,rolling_mean,7
FD003,CatBoost,RUL_capped,sensor_11_roll5_max,0.9725763540287081,rolling_max,8
FD003,CatBoost,RUL_capped,sensor_12_roll20_range,0.9704869390884916,rolling_range,9
FD003,CatBoost,RUL_capped,sensor_7_roll20_range,0.9645653803347407,rolling_range,10
FD003,CatBoost,RUL_capped,sensor_3_roll20_mean,0.8664526249884719,rolling_mean,11
FD003,CatBoost,RUL_capped,sensor_17_roll10_mean,0.854813670904581,rolling_mean,12
FD003,CatBoost,RUL_capped,sensor_9_roll5_mean,0.7793521310889311,rolling_mean,13
FD003,CatBoost,RUL_capped,sensor_11_roll5_min,0.6727416209184093,rolling_min,14
FD003,CatBoost,RUL_capped,sensor_9_roll20_range,0.5595133325565846,rolling_range,15
FD003,CatBoost,RUL_capped,sensor_17_roll5_mean,0.5590237188549527,rolling_mean,16
FD003,CatBoost,RUL_capped,sensor_4_roll5_max,0.5358825302086284,rolling_max,17
FD003,CatBoost,RUL_capped,sensor_4_roll5_mean,0.5220775144873423,rolling_mean,18
FD003,CatBoost,RUL_capped,sensor_11_roll10_max,0.5089084111945915,rolling_max,19
FD003,CatBoost,RUL_capped,sensor_7_roll20_max,0.4981133448120951,rolling_max,20
FD003,CatBoost,RUL_capped,sensor_9,0.4900326995518228,raw_sensor,21
