subset,proposed_RMSE,reference,reference_RMSE,absolute_RMSE_reduction,relative_RMSE_reduction_percent
FD001,15.564334,raw_sensors_only,16.928458,1.3641239999999986,8.058170448838274
FD001,15.564334,cycle_only,23.384278,7.819943999999998,33.44103247489616
FD001,15.564334,rolling_only,16.237244,0.6729099999999999,4.144237778283062
FD002,17.236232,raw_sensors_only,18.945519,1.7092869999999998,9.0221175783044
FD002,17.236232,cycle_only,25.250508,8.014275999999999,31.739068378347074
FD002,17.236232,rolling_only,18.815654,1.5794219999999974,8.394191347268597
FD003,12.084161,raw_sensors_only,14.221293,2.1371319999999994,15.027691223294532
FD003,12.084161,cycle_only,26.752036,14.667875,54.82900441671057
FD003,12.084161,rolling_only,12.804084,0.7199229999999996,5.62260447525961
FD004,15.522409,raw_sensors_only,16.492053,0.9696439999999988,5.879462065759787
FD004,15.522409,cycle_only,30.497637,14.975228000000001,49.102912464988684
FD004,15.522409,rolling_only,16.657785,1.1353760000000008,6.8158881868147585
